Nameoforg,OGRN,INN,Orgaddr,Productmanufaddress,Regnumber,Ektrudp,Docdate,Docvalidtill,Enddate,Registernumber,Productname,OKPD2,TNVED,Nameofregulations,Score,Percentage,Scoredesc,Iselectronicproduct,Isai,ElectronicProductLevel,Docname,Docdatebasis,Docnum,Docvalidtilltpp,Mptdep,Resdocnum
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАЙФУН-ИННОВАЦИЯ""",1132651009303,2623802493,-,-,1712\1\2023,-,2023-07-25,2026-07-24,-,10084557,Аппарат сушильный СУ-250 модель СУ-6,28.93.16,8419 34 000 0,ТУ 5131-001-10269631-2014,-,-,-,-,Нет,-,Акт экспертизы ТПП,2023-06-27,012-01-00440,2026-06-26,"Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения",78285/07
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАЙФУН-ИННОВАЦИЯ""",1132651009303,2623802493,-,-,1712\1\2023,-,2024-04-10,2027-04-09,-,10084557,Аппарат сушильный СУ-250 модель СУ-6,28.93.16,8419 34 000 0,ТУ 5131-001-10269631-2014,185.0,100.0,Соответствует,-,Нет,-,Акт экспертизы ТПП,2024-03-15,012-01-00080,-,"Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения",37001/07
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАЙФУН-ИННОВАЦИЯ""",1132651009303,2623802493,-,-,-,-,2024-04-10,2027-04-09,-,10084558,Линия для вакуумно диффузионного внедрения пищевых добавок в орехи и семечки  ВДВ-500,28.93.16,8419 34 000 0,ТУ 5131-001-10269631-2014,185.0,100.0,Соответствует,-,Нет,-,Акт экспертизы ТПП,2024-03-15,012-01-00080,-,"Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения",37001/07
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАЙФУН-ИННОВАЦИЯ""",1132651009303,2623802493,-,-,1714\1\2023,-,2023-07-27,2026-07-26,-,10084558,Линия для вакуумно диффузионного внедрения пищевых добавок в орехи и семечки  ВДВ-500,28.93.16,8419 34 000 0,ТУ 5131-001-10269631-2014,-,-,-,-,Нет,-,Акт экспертизы ТПП,2023-06-27,012-01-00439,2026-06-26,"Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения",79234/07
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАЙФУН-ИННОВАЦИЯ""",1132651009303,2623802493,-,-,1716\1\2023,-,2023-07-24,2026-07-23,-,10084559,"Линия для сушки и обжаривания сыпучих пищевых продуктов, полуфабрикатов и сырья «Тайфун-2» Раптор.",28.93.16,8419 34 000 0,ТУ 28.30.86 – 004 – 10269631 – 2020,-,-,-,-,Нет,-,Акт экспертизы ТПП,2023-06-19, 012-01-00406,2026-06-18,"Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения",77852/07
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАЙФУН-ИННОВАЦИЯ""",1132651009303,2623802493,-,-,1716\1\2023,-,2024-04-16,2027-04-15,-,10084559,"Линия для сушки и обжаривания сыпучих пищевых продуктов, полуфабрикатов и сырья «Тайфун-2» Раптор.",28.93.16,8419 34 000 0,ТУ 28.30.86 – 004 – 10269631 – 2020,185.0,100.0,Соответствует,-,Нет,-,Акт экспертизы ТПП,2024-03-14, 012-01-00070,-,"Департамент сельскохозяйственного, пищевого и строительно-дорожного машиностроения",39347/07
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСПЛАСТ""",1076229003003,6229059090,-,-,289\1\2023,-,2023-04-12,2026-04-11,-,10085920,Элемент песочницы 2KIDS,32.30.15.239,9503 00 950 0,ТУ-32.30.15-001-96672796-2020,-,-,-,-,Нет,-,СТ-1,2023-01-27,3 062 000004,2024-01-26,Департамент развития промышленности социально-значимых товаров,37257/25
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСПЛАСТ""",1076229003003,6229059090,-,-,289\3\2023,-,2023-04-12,2026-04-11,-,10085921,Элемент песочницы 2KIDS М,32.30.15.239,9503 00 950 0,ТУ-32.30.15-001-96672796-2020,-,-,-,-,Нет,-,СТ-1,2023-01-27,3 062 000004,2024-01-26,Департамент развития промышленности социально-значимых товаров,37257/25
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСПЛАСТ""",1076229003003,6229059090,-,-,289\2\2023,-,2023-04-12,2026-04-11,-,10085922,Пластиковый понтон 2FLOAT AR60,30.11.50.129,8907,ТУ-30.11.50 – 001 – 96672796 – 2017,-,-,-,-,Нет,-,СТ-1,2023-01-27,3 062 000004,2024-01-26,Департамент развития промышленности социально-значимых товаров,37257/25
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\103\2023,-,2023-05-24,2026-05-23,-,10115875,Передвижной мусорный контейнер 1100л  Арт.22.C19.H (20.800.20.PE; 21.050.20.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
